                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                              c_core_mass                              o_core_mass                             si_core_mass                             fe_core_mass                   neutron_rich_core_mass                               tau10_mass                             tau10_radius                              tau100_mass                            tau100_radius                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2 
                                    2000                                      943                  1.5000000000000000E+001                  2.0000000000000000E-002                  1.2803073061509293E+007                  1.7354610193468594E+002                  3.5512360693170663E+003                  7.0271457135197299E+004                  7.0127640957626807E+002                 -8.3648625072462690E-001                  1.0000000000000000E-099                  8.1752917295509415E-057                  1.0000000000000000E-099                  3.2455880687758892E-001                  7.9651625221147056E-038                  6.4823577777912389E-001                  0.0000000000000000E+000                  1.5000000000000000E+001                  0.0000000000000000E+000                  7.0104500482725056E+000                  2.2150051094729930E-004                  5.3370955460610459E+000                  8.7450799159393944E-001                  7.1528982543789921E-002                  1.5968449067466475E+000                  0.0000000000000000E+000                  4.1284841177813396E+000                  2.2255544856556821E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.4983714201453626E+001                  6.9546646967583297E+002                  1.4980628550697256E+001                  6.9449868105591668E+002                  4.8008903462817907E+007                  1.0717509279895508E+002                  2.1345793315685862E+006                  6.2834869004569511E+004                  2.3298034752100519E-003                  4.3429212370576184E+004                  1.5494621725665049E+004                  5.0000000000000000E+001                  1.0000000000000000E+003 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49                                       50                                       51                                       52                                       53                                       54                                       55                                       56 
                                    mass                                   radius                               luminosity                                 pressure                                   logRho                                     logT                                   energy                                  entropy                                       cp                                   gamma1                                    grada                                       mu                                   free_e                                       ye                                     pgas                                     prad                                    gradr                                    gradT                                 velocity                                 conv_vel                                  opacity                                  eps_nuc                                       pp                                      cno                                 tri_alfa                        eps_nuc_neu_total                              non_nuc_neu                                 eps_grav                                       h1                                      he3                                      he4                                      c12                                      n14                                      o16                                     ne20                                     mg24                                     si28                                      s32                                     ar36                                     ca40                                     ti44                                     cr48                                     fe52                                     fe54                                     fe56                                     ni56                                      eta                                log_omega                                    v_rot                                    j_rot                           dynamo_log_B_r                         dynamo_log_B_phi                               log_D_conv                               log_D_semi                                log_D_ovr                               log_D_thrm 
                 1.5000000000000000E+001                  7.0127640957626807E+002                  7.0271457135197299E+004                  3.5324488454575101E+002                 -8.8070044263772083E+000                  3.5503795431610379E+000                  1.8445519339211116E+012                  2.1765120587613541E+001                  1.7079044190405580E+008                  1.6189995806918456E+000                  3.7854830706106463E-001                  1.3015275258907770E+000                  1.0000041081709713E-004                  8.4988121862410471E-001                  3.5284378709459003E+002                  4.0109745116097817E-001                  1.2507100699315840E-001                  1.2507100699315840E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786347050098317E-003                  4.0436949434126000E-029                  4.0436949434126000E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496554418935101E-030                  0.0000000000000000E+000                 -6.2639516128685790E-002                  6.9999999999999996E-001                  2.9797635251138642E-005                  2.7997020236474884E-001                  4.2744128430583462E-003                  1.2623408079670273E-003                  1.1735478978037879E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596738E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999999985000E+001                  7.0127640956708217E+002                  7.0271457135197299E+004                  3.5324488632834380E+002                 -8.8070044244594410E+000                  3.5503795434351426E+000                  1.8445519341453281E+012                  2.1765120585064132E+001                  1.7079044183830881E+008                  1.6189995809597479E+000                  3.7854830718090171E-001                  1.3015275258879850E+000                  1.0000041081710121E-004                  8.4988121862410471E-001                  3.5284378887617021E+002                  4.0109745217358905E-001                  1.2507100730027076E-001                  1.2507100730027076E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786347176071540E-003                  4.0436949668219316E-029                  4.0436949668219316E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496554822990628E-030                  0.0000000000000000E+000                 -6.2639516427417732E-002                  6.9999999999999996E-001                  2.9797635251138642E-005                  2.7997020236474884E-001                  4.2744128430583462E-003                  1.2623408079670271E-003                  1.1735478978037877E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596734E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999999935824E+001                  7.0127640953697562E+002                  7.0271457135197299E+004                  3.5324489239925953E+002                 -8.8070044179281712E+000                  3.5503795443686537E+000                  1.8445519349089619E+012                  2.1765120576381896E+001                  1.7079044161439568E+008                  1.6189995818721385E+000                  3.7854830758902858E-001                  1.3015275258784760E+000                  1.0000041081711490E-004                  8.4988121862410471E-001                  3.5284379494363731E+002                  4.0109745562220539E-001                  1.2507100931360457E-001                  1.2507100931360457E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786347605094583E-003                  4.0436950517081039E-029                  4.0436950517081044E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496556199068243E-030                  0.0000000000000000E+000                 -6.2639517443651080E-002                  6.9999999999999996E-001                  2.9797635251138642E-005                  2.7997020236474884E-001                  4.2744128430583462E-003                  1.2623408079670273E-003                  1.1735478978037880E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596738E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999999766434E+001                  7.0127640943327219E+002                  7.0271457135197314E+004                  3.5324491521577272E+002                 -8.8070043933814990E+000                  3.5503795478770961E+000                  1.8445519377789531E+012                  2.1765120543750800E+001                  1.7079044077285653E+008                  1.6189995853012022E+000                  3.7854830912290349E-001                  1.3015275258427383E+000                  1.0000041081716588E-004                  8.4988121862410471E-001                  3.5284381774718946E+002                  4.0109746858324818E-001                  1.2507101624842554E-001                  1.2507101624842554E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786349217505105E-003                  4.0436964894895677E-029                  4.0436964894895677E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496561370823655E-030                  0.0000000000000000E+000                 -6.2639521264478762E-002                  6.9999999999999996E-001                  2.9797635251138645E-005                  2.7997020236474884E-001                  4.2744128430583471E-003                  1.2623408079670273E-003                  1.1735478978037882E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596749E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999999114374E+001                  7.0127640903407212E+002                  7.0271457135197328E+004                  3.5324498419177854E+002                 -8.8070043191751051E+000                  3.5503795584833786E+000                  1.8445519464551272E+012                  2.1765120445104824E+001                  1.7079043822882107E+008                  1.6189995956675185E+000                  3.7854831375992182E-001                  1.3015275257347008E+000                  1.0000041081732024E-004                  8.4988121862410515E-001                  3.5284388668401311E+002                  4.0109750776544933E-001                  1.2507104294375287E-001                  1.2507104294375287E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786354091942463E-003                  4.0437104346205759E-029                  4.0437104346205759E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496577005421388E-030                  0.0000000000000000E+000                 -6.2617855612981360E-002                  7.0000000000000040E-001                  2.9797635251138682E-005                  2.7997020236474851E-001                  4.2744128430583410E-003                  1.2623408079670277E-003                  1.1735478978037884E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596795E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999997283133E+001                  7.0127640791295903E+002                  7.0271457135197401E+004                  3.5324508592068184E+002                 -8.8070042097322290E+000                  3.5503795741260040E+000                  1.8445519592511255E+012                  2.1765120299617074E+001                  1.7079043447676194E+008                  1.6189996109562319E+000                  3.7854832059880694E-001                  1.3015275255753613E+000                  1.0000041081754869E-004                  8.4988121862410504E-001                  3.5284398835512872E+002                  4.0109756555313614E-001                  1.2507111791486300E-001                  1.2507111791486300E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786361280983787E-003                  4.0437310015315184E-029                  4.0437310015315184E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496600064023625E-030                  0.0000000000000000E+000                 -6.2711286381129897E-002                  7.0000000000000029E-001                  2.9797635251138679E-005                  2.7997020236474851E-001                  4.2744128430583384E-003                  1.2623408079670275E-003                  1.1735478978037882E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596848E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999995451891E+001                  7.0127640679184356E+002                  7.0271457135197459E+004                  3.5324522771602932E+002                 -8.8070040571847841E+000                  3.5503795959295630E+000                  1.8445519770869141E+012                  2.1765120096828692E+001                  1.7079042924693394E+008                  1.6189996322664908E+000                  3.7854833013122491E-001                  1.3015275253532652E+000                  1.0000041081786648E-004                  8.4988121862410515E-001                  3.5284413006992850E+002                  4.0109764610083515E-001                  1.2507119288600269E-001                  1.2507119288600269E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786371301470300E-003                  4.0437683319020375E-029                  4.0437683319020375E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496632204369155E-030                  0.0000000000000000E+000                 -6.2652823446123190E-002                  7.0000000000000040E-001                  2.9797635251138679E-005                  2.7997020236474851E-001                  4.2744128430583358E-003                  1.2623408079670269E-003                  1.1735478978037875E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378596926E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999992178161E+001                  7.0127640478762180E+002                  7.0271457135197561E+004                  3.5324540957782676E+002                 -8.8070038615328379E+000                  3.5503796238940679E+000                  1.8445519999624668E+012                  2.1765119836739530E+001                  1.7079042253933293E+008                  1.6189996595983134E+000                  3.7854834235718354E-001                  1.3015275250684115E+000                  1.0000041081827379E-004                  8.4988121862410515E-001                  3.5284431182841814E+002                  4.0109774940860560E-001                  1.2507132691274270E-001                  1.2507132691274270E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786384153408466E-003                  4.0438468367491795E-029                  4.0438468367491795E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496673426454362E-030                  0.0000000000000000E+000                 -6.2646807613195937E-002                  7.0000000000000040E-001                  2.9797635251138692E-005                  2.7997020236474857E-001                  4.2744128430583367E-003                  1.2623408079670271E-003                  1.1735478978037879E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378597022E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
                 1.4999999988904433E+001                  7.0127640278339493E+002                  7.0271457135197663E+004                  3.5324565456763861E+002                 -8.8070035979662329E+000                  3.5503796615656547E+000                  1.8445520307786145E+012                  2.1765119486368821E+001                  1.7079041350337887E+008                  1.6189996964176061E+000                  3.7854835882703775E-001                  1.3015275246846776E+000                  1.0000041081882340E-004                  8.4988121862410504E-001                  3.5284455667906184E+002                  4.0109788857676826E-001                  1.2507146093957563E-001                  1.2507146093957563E-001                  0.0000000000000000E+000                  0.0000000000000000E+000                  1.5786401466536672E-003                  4.0439900132127124E-029                  4.0439900132127124E-029                  0.0000000000000000E+000                  0.0000000000000000E+000                  9.1496728957569111E-030                  0.0000000000000000E+000                 -6.2617709322430715E-002                  7.0000000000000029E-001                  2.9797635251138719E-005                  2.7997020236474851E-001                  4.2744128430583462E-003                  1.2623408079670284E-003                  1.1735478978037870E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                 -2.0000000378597147E+001                 -9.8999999999999986E+001                  0.0000000000000000E+000                  0.0000000000000000E+000                 -9.8999999999999986E+001                 -9.8999999999999986E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001                 -9.9000000000000000E+001 
